id,price,longitude,latitude
323,71187,116.439722,39.868674
324,59809,116.483888,40.004499
325,81340,116.381497,39.97775
326,54880,116.674053,39.882658
327,33567,116.416156,40.082585
328,40951,116.439341,40.082372
329,48259,116.382471,40.08696
330,68921,116.37555,40.042102
331,102571,116.305645,39.939333
332,80488,116.286376,39.959535
333,65505,116.410907,40.010894
334,110333,116.385168,39.900454
335,94830,116.365812,39.960581
336,90290,116.490651,39.895343
337,68214,116.247008,39.906426
338,49793,116.643924,39.889841
339,38938,116.415742,40.077796
340,62927,116.700632,39.914747
341,84653,116.301217,40.028811
342,65421,116.501958,39.882586
343,67199,116.287408,39.906807
344,69120,116.51159,39.903448
345,69930,116.456697,39.922284
346,96537,116.373534,39.987628
347,87349,116.429743,39.96941
348,81804,116.548246,39.969542
349,48985,116.238706,39.854004
350,84946,116.368957,39.954839
351,46635,116.172299,39.931943
352,53110,116.555368,40.113521
353,76987,116.439095,39.983437
354,37334,116.43942,40.072066
355,45064,116.415742,40.077796
356,64356,116.598911,39.932527
357,59124,116.59503,39.92974
358,85765,116.514316,39.918722
359,59926,116.504346,39.881279
360,70588,116.461949,40.003018
361,53967,116.256241,39.89887
362,61657,116.499479,39.928739
363,57880,116.464542,39.994386
364,91549,116.490032,39.993487
365,60724,116.700632,39.914747
366,81696,116.355665,40.016785
367,65147,116.396844,39.872512
368,97005,116.437281,39.918733
369,46393,116.35699,40.093976
370,41414,116.554715,40.107876
371,70936,116.481447,39.937145
372,45106,116.17517,39.940346
373,54837,116.315096,39.857138
374,81671,116.45968,39.999245
375,46078,116.359156,40.079209
376,51868,116.316963,40.056306
377,104928,116.3328,39.938358
378,56662,116.318035,39.857355
379,65042,116.462536,39.996423
380,76492,116.412689,39.867798
381,38947,116.670101,40.118729
382,69061,116.461949,40.003018
383,67854,116.214924,39.927902
384,88982,116.257014,40.054948
385,90864,116.441608,39.898639
386,39592,116.550348,39.755625
387,57667,116.291788,39.855182
388,54220,116.651623,39.894471
389,81633,116.451391,39.943064
390,35647,116.431552,40.082903
391,74252,116.459197,39.967298
392,44391,116.498756,39.807081
393,101626,116.431358,40.009996
394,47384,116.649343,39.904371
395,40778,116.152698,40.116606
396,46400,116.35699,40.093976
397,31839,116.445785,40.077726
398,67114,116.508983,39.871912
399,103041,116.340103,39.98
400,43483,116.559275,40.113935
401,31250,116.549499,39.746067
402,94135,116.271746,40.05804
403,48969,116.452967,39.818019
404,47706,116.653763,39.901479
405,58143,116.318616,39.946663
406,70769,116.511545,39.904464
407,61940,116.433365,40.048629
408,50316,116.588913,39.922146
409,60081,116.412985,40.062212
410,98068,116.464603,39.905054
411,50128,116.643044,39.878713
412,57184,116.41718,39.851679
413,55061,116.509581,39.966366
414,41494,116.249916,40.227383
415,66964,116.498731,39.918076
416,42613,116.445785,40.077726
417,68232,116.512916,39.966511
418,109663,116.360016,39.939659
419,91386,116.409266,40.003413
420,61348,116.689244,39.873245
421,46242,116.43942,40.072066
422,35209,116.266541,40.227012
423,51901,116.675733,39.880941
424,90403,116.398206,39.979381
425,27267,116.85037,39.963617
426,54729,116.338433,40.051503
427,80534,116.472178,39.940931
428,66561,116.513063,39.937121
429,44845,116.441424,39.813718
430,76089,116.247008,39.906426
431,46260,116.421842,40.119709
432,66772,116.44931,39.964914
433,73929,116.427825,40.046804
